SAMPLE_RATE,Lighting Status
6/12/2013 21:16,0
6/12/2013 21:21,0
6/12/2013 21:26,0
6/12/2013 21:31,0
6/12/2013 21:36,0
6/12/2013 21:41,0
6/12/2013 21:46,0
6/12/2013 21:51,0
6/12/2013 21:56,0
6/12/2013 22:01,0
6/12/2013 22:06,0
6/12/2013 22:11,0
6/12/2013 22:16,0
6/12/2013 22:21,0
6/12/2013 22:26,0
6/12/2013 22:31,0
6/12/2013 22:36,0
6/12/2013 22:41,0
6/12/2013 22:46,0
6/12/2013 22:51,0
6/12/2013 22:56,0
6/12/2013 23:01,0
6/12/2013 23:06,0
6/12/2013 23:11,0
6/12/2013 23:16,0
6/12/2013 23:21,0
6/12/2013 23:26,0
6/12/2013 23:31,0
6/12/2013 23:36,0
6/12/2013 23:41,0
6/12/2013 23:46,0
6/12/2013 23:51,0
6/12/2013 23:56,0
6/13/2013 0:01,0
6/13/2013 0:06,0
6/13/2013 0:11,0
6/13/2013 0:16,0
6/13/2013 0:21,0
6/13/2013 0:26,0
6/13/2013 0:31,0
6/13/2013 0:36,0
6/13/2013 0:41,0
6/13/2013 0:46,0
6/13/2013 0:51,0
6/13/2013 0:56,0
6/13/2013 1:01,0
6/13/2013 1:06,0
6/13/2013 1:11,0
6/13/2013 1:16,0
6/13/2013 1:21,0
6/13/2013 1:26,0
6/13/2013 1:31,0
6/13/2013 1:36,0
6/13/2013 1:41,0
6/13/2013 1:46,0
6/13/2013 1:51,0
6/13/2013 1:56,0
6/13/2013 2:01,0
6/13/2013 2:06,0
6/13/2013 2:11,0
6/13/2013 2:16,0
6/13/2013 2:21,0
6/13/2013 2:26,0
6/13/2013 2:31,0
6/13/2013 2:36,0
6/13/2013 2:41,0
6/13/2013 2:46,0
6/13/2013 2:51,0
6/13/2013 2:56,0
6/13/2013 3:01,0
6/13/2013 3:06,0
6/13/2013 3:11,0
6/13/2013 3:16,0
6/13/2013 3:21,0
6/13/2013 3:26,0
6/13/2013 3:31,0
6/13/2013 3:36,0
6/13/2013 3:41,0
6/13/2013 3:46,0
6/13/2013 3:51,0
6/13/2013 3:56,0
6/13/2013 4:01,0
6/13/2013 4:06,0
6/13/2013 4:11,0
6/13/2013 4:16,0
6/13/2013 4:21,0
6/13/2013 4:26,0
6/13/2013 4:31,0
6/13/2013 4:36,0
6/13/2013 4:41,0
6/13/2013 4:46,0
6/13/2013 4:51,0
6/13/2013 4:56,0
6/13/2013 5:01,0
6/13/2013 5:06,0
6/13/2013 5:11,0
6/13/2013 5:16,0
6/13/2013 5:21,0
6/13/2013 5:26,0
6/13/2013 5:31,0
6/13/2013 5:36,0
6/13/2013 5:41,0
6/13/2013 5:46,0
6/13/2013 5:51,0
6/13/2013 5:56,0
6/13/2013 6:01,0
6/13/2013 6:06,0
6/13/2013 6:11,0
6/13/2013 6:16,0
6/13/2013 6:21,0
6/13/2013 6:26,0
6/13/2013 6:31,0
6/13/2013 6:36,0
6/13/2013 6:41,0
6/13/2013 6:46,0
6/13/2013 6:51,0
6/13/2013 6:56,0
6/13/2013 7:01,0
6/13/2013 7:06,0
6/13/2013 7:11,0
6/13/2013 7:16,0
6/13/2013 7:21,0
6/13/2013 7:26,0
6/13/2013 7:31,0
6/13/2013 7:36,0
6/13/2013 7:41,0
6/13/2013 7:46,0
6/13/2013 7:51,0
6/13/2013 7:56,0
6/13/2013 8:01,0
6/13/2013 8:06,0
6/13/2013 8:11,0
6/13/2013 8:16,0
6/13/2013 8:21,0
6/13/2013 8:26,0
6/13/2013 8:31,0
6/13/2013 8:36,0
6/13/2013 8:41,0
6/13/2013 8:46,0
6/13/2013 8:51,0
6/13/2013 8:56,0
6/13/2013 9:01,0
6/13/2013 9:06,0
6/13/2013 9:11,0
6/13/2013 9:16,0
6/13/2013 9:21,0
6/13/2013 9:26,0
6/13/2013 9:31,0
6/13/2013 9:36,0
6/13/2013 9:41,0
6/13/2013 9:46,0
6/13/2013 9:51,0
6/13/2013 9:56,0
6/13/2013 10:01,0
6/13/2013 10:06,0
6/13/2013 10:11,0
6/13/2013 10:16,0
6/13/2013 10:21,0
6/13/2013 10:26,0
6/13/2013 10:31,0
6/13/2013 10:36,0
6/13/2013 10:41,0
6/13/2013 10:46,0
