datetimeValues,predicted,cumulativeSum,measured
1987-04-14 07:00:00+00:00,-0.036287713161346435,-0.036287713161346435,0.0
1987-04-14 08:00:00+00:00,-0.03265894184521137,-0.0689466550065578,0.0
1987-04-14 09:00:00+00:00,-0.036287713161346186,-0.10523436816790399,0.0
1987-04-14 10:00:00+00:00,-0.0254013992129426,-0.1306357673808466,0.0
1987-04-14 11:00:00+00:00,-0.014515085264539318,-0.1451508526453859,0.0
1987-04-14 12:00:00+00:00,-0.010886313948404253,-0.15603716659379016,0.0
1987-04-14 13:00:00+00:00,-0.014515085264538236,-0.1705522518583284,0.0
1987-04-14 14:00:00+00:00,-0.02177262789680781,-0.1923248797551362,0.0
1987-04-14 15:00:00+00:00,-0.0072575426322693815,-0.1995824223874056,0.0
1987-04-14 16:00:00+00:00,-0.003628771316133622,-0.2032111937035392,0.0
1987-04-14 17:00:00+00:00,-0.014515085264539485,-0.2177262789680787,0.0
1987-04-14 18:00:00+00:00,-0.021772627896808033,-0.23949890686488673,0.0
1987-04-14 19:00:00+00:00,-0.01814385658067355,-0.25764276344556025,0.0
1987-04-14 20:00:00+00:00,-0.018143856580672107,-0.40878662002623234,0.133
1987-04-14 21:00:00+00:00,-0.014515085264538263,-0.5393017052907706,0.116
1987-04-14 22:00:00+00:00,0.056178035430992423,-0.7151236698597782,0.232
1987-04-14 23:00:00+00:00,-0.11964392913808769,-0.9337675989978659,0.099
1987-04-15 00:00:00+00:00,0.23199999999991627,-0.7017675989979496,0.0
1987-04-15 01:00:00+00:00,-0.014515085264539929,-0.7162826842624895,0.0
1987-04-15 02:00:00+00:00,-0.003628771316135704,-0.7199114555786252,0.0
1987-04-15 03:00:00+00:00,-0.007257542632268299,-0.7271689982108935,0.0
1987-04-15 04:00:00+00:00,-0.007257542632269992,-0.7344265408431635,0.0
1987-04-15 05:00:00+00:00,-0.0036287713161342883,-0.7380553121592978,0.0
1987-04-15 06:00:00+00:00,-0.0072575426322684655,-0.7453128547915662,0.0
1987-04-15 07:00:00+00:00,-0.003628771316134566,-0.7489416261077008,0.0
1987-04-15 08:00:00+00:00,1.3877787807814457e-16,-0.7489416261077007,0.0
1987-04-15 09:00:00+00:00,0.003628771316133428,-0.7453128547915673,0.0
1987-04-15 10:00:00+00:00,-0.007257542632269909,-0.7525703974238371,0.0
1987-04-15 11:00:00+00:00,-0.6974409082121578,-1.450011305635995,0.0
1987-04-15 12:00:00+00:00,-0.56444090821216,-2.0144522138481546,0.0
1987-04-15 13:00:00+00:00,-0.21279697907410483,-2.2272491929222595,0.0
1987-04-15 14:00:00+00:00,0.29716123305550823,-1.9300879598667513,0.0
1987-04-15 15:00:00+00:00,0.0050590473850671835,-2.0410289124816843,0.116
1987-04-15 16:00:00+00:00,0.22444913573438185,-2.0485797767473026,0.232
1987-04-15 17:00:00+00:00,0.11462717116536553,-2.298952605581937,0.365
1987-04-15 18:00:00+00:00,0.4095513214048223,-2.2864012841771144,0.397
1987-04-15 19:00:00+00:00,0.358517259514676,-2.3248840246624383,0.397
1987-04-15 20:00:00+00:00,0.38144913573439254,-2.506434888928046,0.5630000000000001
1987-04-15 21:00:00+00:00,0.2947377580235427,-2.906697130904503,0.6950000000000001
1987-04-15 22:00:00+00:00,0.5009575369220984,-2.968739593982405,0.5630000000000001
1987-04-15 23:00:00+00:00,0.6653353210624746,-2.5854042729199302,0.28200000000000003
1987-04-16 00:00:00+00:00,0.24248896898152061,-2.3589153039384096,0.016
1987-04-16 01:00:00+00:00,-0.7379408344558356,-3.1128561383942452,0.016
1987-04-16 02:00:00+00:00,-1.088213618497913,-4.201069756892158,0.0
1987-04-16 03:00:00+00:00,-0.7625338023456276,-4.963603559237786,0.0
1987-04-16 04:00:00+00:00,-0.733589995892479,-5.697193555130265,0.0
1987-04-16 05:00:00+00:00,-0.24096566767587818,-5.938159222806143,0.0
1987-04-16 06:00:00+00:00,0.24687256847651184,-5.691286654329631,0.0
1987-04-16 07:00:00+00:00,0.0338891210617672,-5.657397533267864,0.0
1987-04-16 08:00:00+00:00,0.061916484477481576,-5.595481048790383,0.0
1987-04-16 09:00:00+00:00,0.032658941845212175,-5.562822106945171,0.0
1987-04-16 10:00:00+00:00,0.02903017052907733,-5.533791936416093,0.0
1987-04-16 11:00:00+00:00,0.09371578487101001,-5.440076151545083,0.0
1987-04-16 12:00:00+00:00,0.16458701355487543,-5.275489137990207,0.0
1987-04-16 13:00:00+00:00,0.21664385658067334,-5.058845281409534,0.0
1987-04-16 14:00:00+00:00,0.499635980354574,-4.55920930105496,0.0
1987-04-16 15:00:00+00:00,0.48475107011418267,-4.074458230940777,0.0
1987-04-16 16:00:00+00:00,0.6161700422447076,-3.6902881886960692,0.232
1987-04-16 17:00:00+00:00,0.5289002217639447,-3.3933879669321243,0.232
1987-04-16 18:00:00+00:00,0.40096316743530913,-3.2244247994968154,0.232
1987-04-16 19:00:00+00:00,0.5644157490517032,-2.908009050445112,0.248
1987-04-16 20:00:00+00:00,0.5840497743761612,-2.6889592760689505,0.365
1987-04-16 21:00:00+00:00,0.1073267757389958,-2.9466325003299545,0.365
1987-04-16 22:00:00+00:00,0.2795124927474255,-3.0641200075825292,0.397
1987-04-16 23:00:00+00:00,-0.02792369783520282,-3.3570437054177322,0.265
1987-04-17 00:00:00+00:00,1.2002463033469555,-2.1567974020707767,0.0
1987-04-17 01:00:00+00:00,1.6641805903412723,-0.49261681172950444,0.0
1987-04-17 02:00:00+00:00,0.93098950662141,0.43837269489190556,0.0
