datetimeValues,measuredValues,predictedValues
1987-05-05 05:00:00+00:00,3743.0,1188.548976972941
1987-05-05 06:00:00+00:00,3740.0,1218.7225665627739
1987-05-05 07:00:00+00:00,3725.0,1185.569745742434
1987-05-05 08:00:00+00:00,3616.0,1161.99333533226
1987-05-05 09:00:00+00:00,3534.0,203.26410410175504
1987-05-05 10:00:00+00:00,3203.0,-25.152820820270335
1987-05-05 11:00:00+00:00,0.0,25.152820820397665
1987-05-05 12:00:00+00:00,0.0,50.30564164073439
1987-05-05 13:00:00+00:00,0.0,100.6112832814083
1987-05-05 14:00:00+00:00,0.0,113.18769369157553
1987-05-05 15:00:00+00:00,0.0,50.305641640730755
1987-05-05 16:00:00+00:00,0.0,163.49333533224808
1987-05-05 17:00:00+00:00,0.0,150.91692492207721
1987-05-05 18:00:00+00:00,0.0,138.3405145119077
1987-05-05 19:00:00+00:00,0.0,88.0348728712338
1987-05-05 20:00:00+00:00,0.0,221.8961561525848
1987-05-05 21:00:00+00:00,0.0,305.68102902376404
1987-05-05 22:00:00+00:00,0.0,-285.1618773469172
1987-05-05 23:00:00+00:00,0.0,9.38046138217365
1987-05-06 02:00:00+00:00,742.0,536.5935108339286
1987-05-06 03:00:00+00:00,3710.0,536.5935108339322
1987-05-06 04:00:00+00:00,3771.0,945.514878867823
1987-05-06 05:00:00+00:00,3804.0,1520.2441100983297
1987-05-06 06:00:00+00:00,3771.0,1583.1261621491728
1987-05-06 07:00:00+00:00,3771.0,1009.7233413288295
1987-05-06 08:00:00+00:00,3727.0,603.6676996881556
1987-05-06 09:00:00+00:00,3650.0,465.3271851762988
1987-05-06 10:00:00+00:00,466.0,415.02154353562537
1987-05-06 11:00:00+00:00,0.0,490.0771851762943
1987-05-06 12:00:00+00:00,0.0,498.174364355958
1987-05-06 13:00:00+00:00,0.0,548.4800059966319
1987-05-06 14:00:00+00:00,0.0,612.3175447349422
1987-05-06 15:00:00+00:00,0.0,608.734159750526
1987-05-06 16:00:00+00:00,0.0,514.6006198129107
1987-05-06 17:00:00+00:00,0.0,547.4783631566402
1987-05-06 18:00:00+00:00,0.0,590.5394914847716
1987-05-06 19:00:00+00:00,0.0,577.1394914847697
1987-05-06 20:00:00+00:00,0.0,653.6617481410472
1987-05-06 21:00:00+00:00,0.0,780.6119030942605
1987-05-06 22:00:00+00:00,0.0,797.4730314223943
1987-05-06 23:00:00+00:00,0.0,894.8843147037514
1987-05-07 00:00:00+00:00,3234.0,791.8843147037492
1987-05-07 01:00:00+00:00,3788.0,819.4955979850974
1987-05-07 02:00:00+00:00,3788.0,869.855393379677
1987-05-07 03:00:00+00:00,3761.0,615.3291962907441
1987-05-07 04:00:00+00:00,3821.0,1508.7567263132428
1987-05-07 05:00:00+00:00,3916.0,1172.4274057592384
1987-05-07 06:00:00+00:00,3667.0,941.3343544011177
1987-05-07 07:00:00+00:00,1855.0,877.8902662508558
1987-05-07 08:00:00+00:00,3063.0,742.0082142000151
1987-05-07 09:00:00+00:00,3821.0,641.3969309186632
1987-05-07 10:00:00+00:00,3778.0,477.9035955864697
1987-05-07 11:00:00+00:00,3727.0,649.4941100983201
1987-05-07 12:00:00+00:00,3572.0,724.4733413288268
1987-05-07 13:00:00+00:00,3140.0,828.6818037898352
1987-05-07 14:00:00+00:00,3030.0,795.1261621491594
1987-05-07 15:00:00+00:00,2459.0,824.2025725593253
1987-05-07 16:00:00+00:00,2658.0,-274.45136804031426
1987-05-07 17:00:00+00:00,2071.0,-277.23724297685624
1987-05-07 18:00:00+00:00,2563.0,-311.5775279550835
1987-05-07 19:00:00+00:00,2271.0,-280.5768603205048
1987-05-07 20:00:00+00:00,1994.0,-256.95962241195684
1987-05-07 21:00:00+00:00,2287.0,55.919075199172454
1987-05-07 22:00:00+00:00,2752.0,853.323144666756
1987-05-07 23:00:00+00:00,3096.0,1929.5470677103413
1987-05-08 00:00:00+00:00,975.0,1748.1107858757778
1987-05-08 01:00:00+00:00,2975.0,1807.2307807627085
1987-05-08 02:00:00+00:00,2802.0,913.5987287118683
1987-05-08 03:00:00+00:00,3899.0,1929.3628328135514
1987-05-08 04:00:00+00:00,1423.0,1885.9807807627153
1987-05-08 05:00:00+00:00,2847.0,1898.5571911728812
1987-05-08 06:00:00+00:00,4038.0,1566.862832813556
1987-05-08 07:00:00+00:00,4038.0,817.4666766610276
1987-05-08 08:00:00+00:00,3994.0,830.0430870711898
1987-05-08 09:00:00+00:00,3933.0,905.5015495322027
1987-05-08 10:00:00+00:00,2708.0,779.7374454305127
1987-05-08 11:00:00+00:00,0.0,880.3487287118578
1987-05-08 12:00:00+00:00,0.0,1043.8420640440468
1987-05-08 13:00:00+00:00,0.0,1031.2656536338786
1987-05-08 14:00:00+00:00,0.0,1006.112832813541
1987-05-08 15:00:00+00:00,0.0,417.68904083775817
1987-05-08 16:00:00+00:00,0.0,235.7084377373485
1987-05-08 17:00:00+00:00,0.0,-464.6449285323839
1987-05-08 18:00:00+00:00,0.0,-178.49933460311422
1987-05-08 19:00:00+00:00,0.0,-415.97306998284637
1987-05-08 20:00:00+00:00,0.0,-239.98559916177237
1987-05-08 21:00:00+00:00,0.0,475.2705404377026
1987-05-08 22:00:00+00:00,0.0,1059.7869816181956
1987-05-08 23:00:00+00:00,0.0,746.9795103037267
1987-05-09 00:00:00+00:00,1147.0,349.2876674058034
1987-05-09 01:00:00+00:00,3994.0,1428.502324298262
1987-05-09 02:00:00+00:00,4070.0,1428.3495034779266
1987-05-09 03:00:00+00:00,4070.0,1616.9956596304546
1987-05-09 04:00:00+00:00,4149.0,1554.5928388101192
1987-05-09 05:00:00+00:00,4183.0,1580.1484804507918
1987-05-09 06:00:00+00:00,4210.0,1597.2041220914684
1987-05-09 07:00:00+00:00,4149.0,1630.4541220914657
