Date,Hillside OAT2 [F],Main Meter2 [kW],Boiler Gas2 [kBtu/hr]
2/1/2012 0:00,45.67,108.52,477.31
2/1/2012 1:00,46.18,111.86,597.66
2/1/2012 2:00,47.08,113.87,630.03
2/1/2012 3:00,47.08,114.24,654.75
2/1/2012 4:00,47.61,139.99,936.52
2/1/2012 5:00,47.91,145.86,1259.27
2/1/2012 6:00,48.23,153.62,1423.25
2/1/2012 7:00,48.45,167.61,1438.42
2/1/2012 8:00,49.47,187.12,1167.65
2/1/2012 9:00,50.78,204.19,888.61
