Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
2/26/2012 12:00,64.27,111.23,325.53
2/26/2012 13:00,63.43,109.25,303.29
2/26/2012 14:00,57.76,111.24,291.36
2/26/2012 15:00,53.51,110.27,272.77
2/26/2012 16:00,51.52,109.67,262.97
2/26/2012 17:00,48.24,107.37,268.22
2/26/2012 18:00,45.76,108.62,338.68
2/26/2012 19:00,44.3,107.06,363.72
2/26/2012 20:00,43.03,108.41,388.29
2/26/2012 21:00,42.1,110.21,405.27
2/26/2012 22:00,40.39,111.14,464.72
2/26/2012 23:00,40.39,110.7,526.51
2/27/2012 0:00,41.03,109.91,569.84
2/27/2012 1:00,40.75,111.5,628.95
2/27/2012 2:00,39.75,114.65,665.02
2/27/2012 3:00,39.05,114.66,952.14
2/27/2012 4:00,39.05,137.19,1284.64
2/27/2012 5:00,39.05,143.93,1649.59
2/27/2012 6:00,39.05,151.28,1784.98
2/27/2012 7:00,40.65,164.81,1774.61
2/27/2012 8:00,42.85,188.29,1809.26
2/27/2012 9:00,44.7,207.51,1702.62
2/27/2012 10:00,55.96,215.47,1359.9
2/27/2012 11:00,69.29,217.47,1026.55
2/27/2012 12:00,72.96,221.14,880.59
2/27/2012 13:00,75.82,222.09,728.65
2/27/2012 14:00,64.55,222.98,634.06
2/27/2012 15:00,54.79,220,589.46
2/27/2012 16:00,53.14,211.21,557.1
2/27/2012 17:00,51.07,187.52,509.02
2/27/2012 18:00,46.73,135.96,400.43
2/27/2012 19:00,43.76,117.32,329.6
2/27/2012 20:00,42.45,111.95,350.31
2/27/2012 21:00,41.71,112.86,447.92
2/27/2012 22:00,40.8,110.48,486.98
2/27/2012 23:00,40.39,111.8,524.95
2/28/2012 0:00,40.39,112.11,586.8
2/28/2012 1:00,40.39,111.43,662.37
2/28/2012 2:00,40.39,115.89,741.21
2/28/2012 3:00,41.19,113.53,963.72
2/28/2012 4:00,41.13,140.42,1250.83
2/28/2012 5:00,40.39,145.57,1653.03
2/28/2012 6:00,40.39,154.71,1836.97
2/28/2012 7:00,41.08,168.67,1906.76
2/28/2012 8:00,43.08,189.97,1755.02
2/28/2012 9:00,46.68,209.19,1385.95
2/28/2012 10:00,48.54,215.37,1015.25
2/28/2012 11:00,55.88,216.75,830.09
2/28/2012 12:00,59.63,220.15,764.58
2/28/2012 13:00,59.84,224.57,731.88
2/28/2012 14:00,59.25,224.32,701.63
2/28/2012 15:00,55,217.32,655.08
2/28/2012 16:00,50.96,209.53,598.02
2/28/2012 17:00,49.02,189.53,527.47
2/28/2012 18:00,47.65,133.45,415.03
2/28/2012 19:00,47.16,115.05,326.53
2/28/2012 20:00,47.41,109.23,313.44
2/28/2012 21:00,47.26,108.47,382.74
2/28/2012 22:00,46.95,106.44,458.26
2/28/2012 23:00,45.62,106.69,500.21
2/29/2012 0:00,44.33,107.18,610.47
2/29/2012 1:00,44.33,111.9,751.09
2/29/2012 2:00,45.35,112.79,791.07
2/29/2012 3:00,47.56,113.46,822.44
2/29/2012 4:00,48.61,139.11,994.77
2/29/2012 5:00,46.95,144.72,1312.96
2/29/2012 6:00,46.46,152.98,1506.03
2/29/2012 7:00,46.6,166.42,1535.74
2/29/2012 8:00,47.34,189.01,1336.15
2/29/2012 9:00,48.71,206.11,1086.9
2/29/2012 10:00,55.31,211.53,786.09
2/29/2012 11:00,58.41,213.97,659.46
2/29/2012 12:00,52.72,214.69,632.42
2/29/2012 13:00,51.77,217.39,596.73
2/29/2012 14:00,53.79,218.72,551.35
2/29/2012 15:00,52.91,220.37,516.82
2/29/2012 16:00,50.77,209.29,480.31
2/29/2012 17:00,48.1,189.46,411.51
2/29/2012 18:00,46.15,133.81,256.94
2/29/2012 19:00,43.76,117.61,122.88
2/29/2012 20:00,43.03,109.75,162.78
2/29/2012 21:00,44.14,109.49,286.61
2/29/2012 22:00,43.43,108.3,372.67
2/29/2012 23:00,42.81,107.08,420.12
