Time_stamp,SupplyFanStatus,DamperSignal,CoolingCoilValvePosition
7/22/14 4:34 PM,1,5,55.8053
7/22/14 4:35 PM,,5,
7/22/14 4:36 PM,1,5,
7/22/14 4:37 PM,1,5,55.7164
7/22/14 4:38 PM,,,55.7164
7/22/14 4:39 PM,,5,55.7164
7/22/14 4:40 PM,1,5,55.7164
7/22/14 4:41 PM,1,5,55.7164
7/22/14 4:42 PM,1,5,55.7164
7/22/14 4:43 PM,,5,
7/22/14 4:44 PM,1,5,55.7164
7/22/14 4:45 PM,1,5,
7/22/14 4:46 PM,1,,
7/22/14 4:47 PM,1,5,55.7164
7/22/14 4:48 PM,,5,55.7164
7/22/14 4:49 PM,1,,55.7164
7/22/14 4:50 PM,1,,55.7164
7/22/14 4:51 PM,1,5,55.7164
7/22/14 4:52 PM,1,5,
7/22/14 4:53 PM,,5,55.9221
7/22/14 4:54 PM,,5,
7/22/14 4:55 PM,1,5,
7/22/14 4:56 PM,1,,
7/22/14 4:57 PM,,,55.9221
7/22/14 4:58 PM,1,5,
7/22/14 4:59 PM,1,,55.9221
7/22/14 5:00 PM,,5,55.9221
